Hospital Name,Address,City,State,ZIP Code,Hospital 30-Day Death (Mortality) Rates from Heart Attack,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia
JAMESTOWN REGIONAL MEDICAL CENTER,436 CENTRAL AVENUE WEST,JAMESTOWN,TN,38556,17.2,12,13
SWEETWATER HOSPITAL ASSOCIATION,304 WRIGHT ST,SWEETWATER,TN,37874,14.9,10.2,11.1
"MEMORIAL HEALTHCARE SYSTEM, INC",2525 DESALES AVE,CHATTANOOGA,TN,37404,15.4,11.9,11
LINCOLN MEDICAL CENTER,106 MEDICAL CENTER BLVD,FAYETTEVILLE,TN,37334,Not Available,13.2,12.1
ERLANGER MEDICAL CENTER,975 E 3RD ST,CHATTANOOGA,TN,37403,18.4,12.2,14
HARDIN MEDICAL CENTER,935 WAYNE ROAD,SAVANNAH,TN,38372,Not Available,11.4,15.9
FORT LOUDOUN MEDICAL CENTER,550 FORT LOUDOUN MEDICAL CENTER DR,LENOIR CITY,TN,37772,14.7,10.8,10.9
METRO NASHVILLE GENERAL HOSPITAL,1818 ALBION STREET,NASHVILLE,TN,37208,Not Available,Not Available,Not Available
HUMBOLDT GENERAL HOSPITAL INC,3525 CHERE CAROL RD,HUMBOLDT,TN,38343,Not Available,11.5,14.4
TENNOVA HEALTHCARE,900 EAST OAK HILL AVENUE,KNOXVILLE,TN,37917,17,13.1,12.2
FORT SANDERS REGIONAL MEDICAL CENTER,1901 W CLINCH AVE,KNOXVILLE,TN,37916,14.6,10.1,10.4
BAPTIST MEMORIAL HOSPITAL UNION CITY,"1201 BISHOP ST, PO BOX 310",UNION CITY,TN,38261,17.3,11.1,15.6
BAPTIST MEMORIAL HOSPITAL TIPTON,1995 HIGHWAY 51 S,COVINGTON,TN,38019,16.6,13.1,12
HENRY COUNTY MEDICAL CENTER,301 TYSON AV,PARIS,TN,38242,17.6,15.1,13
BAPTIST HOSPITAL,2000 CHURCH ST,NASHVILLE,TN,37236,17,11.7,11.8
HERITAGE MEDICAL CENTER,2835 HWY 231 N,SHELBYVILLE,TN,37160,18.2,12.9,14.3
MEMPHIS VA MEDICAL CENTER,1030 JEFFERSON AVENUE,MEMPHIS                       ,TN,38104,18.1,11.5,14.6
CUMBERLAND RIVER HOSPITAL,100 OLD JEFFERSON ST,CELINA,TN,38551,Not Available,11.8,10.4
HARTON REGIONAL MEDICAL CENTER,1801 N JACKSON ST BOX 460,TULLAHOMA,TN,37388,15.7,10.7,14.7
BAPTIST REHABILITATION GERMANTOWN,2100 EXETER ROAD,GERMANTOWN,TN,38138,Not Available,Not Available,Not Available
STONES RIVER HOSPITAL AND DEKALB COMMUNITY HOSP,520 W MAIN ST,SMITHVILLE,TN,37166,Not Available,12.6,11.3
SUMMIT MEDICAL CENTER,5655 FRIST BLVD,HERMITAGE,TN,37076,16.7,14,9.7
RIVER PARK HOSPITAL,1559 SPARTA STREET,MC MINNVILLE,TN,37110,15.9,11.3,11
REGIONAL MEDICAL CENTER AT MEMPHIS,877 JEFFERSON AVENUE,MEMPHIS,TN,38103,Not Available,Not Available,Not Available
TENNOVA HEALTHCARE-NEWPORT MEDICAL CENTER,435 2ND ST,NEWPORT,TN,37821,15.4,10,11.8
PARKRIDGE MEDICAL CENTER,2333 MCCALLIE AVE,CHATTANOOGA,TN,37404,14.7,13.1,11.3
DELTA MEDICAL CENTER,3000 GETWELL RD,MEMPHIS,TN,38118,Not Available,11.8,13
CENTENNIAL MEDICAL CENTER,2300 PATTERSON STREET,NASHVILLE,TN,37203,16.2,9.7,10.4
HEALTHSOUTH CHATTANOOGA REHAB HOSPITAL,2412 MCCALLIE AVE,CHATTANOOGA,TN,37404,Not Available,Not Available,Not Available
METHODIST HEALTHCARE FAYETTE HOSPITAL,214 LAKEVIEW RD,SOMERVILLE,TN,38068,Not Available,14.3,13.5
MOUNTAIN HOME VA MEDICAL CENTER,SIDNEY & LAMONT STREETS,MOUNTAIN HOME                 ,TN,37684,15.2,10.3,10.1
PARKWEST MEDICAL CENTER,9352 PARK WEST BLVD,KNOXVILLE,TN,37923,16.6,12.1,12.9
HAYWOOD PARK COMMUNITY HOSPITAL,2545 N WASHINGTON AVE,BROWNSVILLE,TN,38012,Not Available,10.2,10.6
CROCKETT HOSPITAL,HWY 43 S BOX 847,LAWRENCEBURG,TN,38464,Not Available,10.1,10.6
INDIAN PATH MEDICAL CENTER,2000 BROOKSIDE DR,KINGSPORT,TN,37660,14.7,10.5,10.7
JELLICO COMMUNITY HOSPITAL,188 HOSPITAL LANE,JELLICO,TN,37762,14.7,12.7,14.8
BOLIVAR GENERAL HOSPITAL,650 NUCKOLLS ROAD,BOLIVAR,TN,38008,Not Available,10.5,12.4
MCKENZIE REGIONAL HOSPITAL,161 HOSPITAL DRIVE,MC KENZIE,TN,38201,Not Available,11.5,14.6
ST FRANCIS HOSPITAL,5959 PARK AVE,MEMPHIS,TN,38119,14.4,10.9,15.4
FRANKLIN WOODS COMMUNITY HOSPITAL,401 PRINCETON RD,JOHNSON CITY,TN,37601,Not Available,11.2,9.1
SKYRIDGE MEDICAL CENTER,2305 CHAMBLISS AVE NW,CLEVELAND,TN,37311,14.2,13.5,14.8
RIVERVIEW REGIONAL MEDICAL CENTER NORTH,158 HOSPITAL DRIVE,CARTHAGE,TN,37030,Not Available,11.2,12.3
LIVINGSTON REGIONAL HOSPITAL,315 OAK ST BOX 550,LIVINGSTON,TN,38570,17.9,15.8,13.6
REGIONAL HOSPITAL OF JACKSON,367 HOSPITAL BLVD,JACKSON,TN,38305,14.1,12.5,13.8
VA MIDDLE TENNESSEE HEALTHCARE SYSTEM,1310 24TH AVENUE SOUTH,NASHVILLE                     ,TN,37212,14.1,10.5,13.2
WHITE COUNTY COMMUNITY HOSPITAL,401 SEWELL DR,SPARTA,TN,38583,14.9,12.3,12.7
UNIVERSITY MEDICAL CENTER,1411 BADDOUR PARKWAY,LEBANON,TN,37087,15.1,11.3,13.9
HENDERSONVILLE MEDICAL CENTER,355 NEW SHACKLE ISLAND RD,HENDERSONVILLE,TN,37075,14.4,12.9,13.9
SOUTHERN HILLS MEDICAL CTR,391 WALLACE RD,NASHVILLE,TN,37211,16.5,13.3,12.6
STONES RIVER HOSPITAL & DEKALB COMMUNITY HOSPITAL,324 DOOLITTLE ROAD,WOODBURY,TN,37190,Not Available,11.5,10.3
THE CENTER FOR SPINAL SURGERY,2011 MURPHY AVENUE,NASHVILLE,TN,37203,Not Available,Not Available,Not Available
STONECREST MEDICAL CENTER,200 STONECREST BOULEVARD,SMYRNA,TN,37167,16.3,13,14.4
SAINT FRANCIS BARTLETT MEDICAL CENTER,2986 KATE BOND RD,BARTLETT,TN,38133,16.4,13,14.2
HICKMAN COMMUNITY HEALTH SERVICES,135 EAST SWAN STREET,CENTERVILLE,TN,37033,Not Available,Not Available,15.8
TROUSDALE MEDICAL CENTER,500 CHURCH STREET,HARTSVILLE,TN,37074,Not Available,11.8,11
MACON COUNTY GENERAL HOSPITAL,204 MEDICAL DRIVE,LAFAYETTE,TN,37083,Not Available,10.5,10.7
RIVERVIEW REGIONAL MEDICAL CENTER SOUTH,130 LEBANON HIGHWAY,CARTHAGE,TN,37030,Not Available,Not Available,Not Available
MEDICAL CENTER OF MANCHESTER,481 INTERSTATE DRIVE,MANCHESTER,TN,37355,Not Available,12,11.8
MARSHALL MEDICAL CENTER,1080 NORTH ELLINGTON PARKWAY,LEWISBURG,TN,37091,Not Available,11.6,13.2
RHEA MEDICAL CENTER,9400 RHEA COUNTY HIGHWAY,DAYTON,TN,37321,Not Available,11.4,12.7
CENTENNIAL MEDICAL CENTER OF ASHLAND CITY,313 NORTH MAIN ST,ASHLAND CITY,TN,37015,Not Available,Not Available,Not Available
PATIENTS' CHOICE MEDICAL CENTER OF ERIN,302 EAST MAIN STREET,ERIN,TN,37061,Not Available,12.4,13.6
WELLMONT HANCOCK COUNTY HOSPITAL,1517 MAIN STREET HWY 33,SNEEDVILLE,TN,37869,Not Available,Not Available,12.1
LAUDERDALE COMMUNITY HOSPITAL,326 ASBURY AVENUE,RIPLEY,TN,38063,Not Available,11.8,10.8
COPPER BASIN MEDICAL CENTER,HIGHWAY 68,COPPERHILL,TN,37317,Not Available,11.4,12.4
CAMDEN GENERAL HOSPITAL,175 HOSPITAL DRIVE,CAMDEN,TN,38320,Not Available,13,11.5
SCOTT COUNTY HOSPITAL,18797 ALBERTA AVENUE,ONEIDA,TN,37841,Not Available,10.2,10.4
PROVIDENCE MEMORIAL HOSPITAL,2001 N OREGON ST,EL PASO,TX,79902,16.1,9.1,12.4
MEMORIAL HERMANN BAPTIST ORANGE HOSPITAL,608 STRICKLAND DRIVE,ORANGE,TX,77630,16.3,14.3,12.7
PETERSON REGIONAL MEDICAL CENTER,551 HILL COUNTRY DRIVE,KERRVILLE,TX,78028,15.7,12.4,14.3
CHILDREN'S HOSPITAL -SCOTT & WHITE HEALTHCARE,1901 SW H K DODGEN LOOP,TEMPLE,TX,76502,Not Available,10.5,11.9
UNITED REGIONAL HEALTH CARE SYSTEM,1600 11TH STREET,WICHITA FALLS,TX,76301,17.4,15.1,13.1
ST JOSEPH REGIONAL HEALTH CENTER,2801 FRANCISCAN DR,BRYAN,TX,77802,15.7,15.6,10.4
PARKLAND HEALTH AND HOSPITAL SYSTEM,5201 HARRY HINES BLVD,DALLAS,TX,75235,12.9,11.2,12
UNIVERSITY OF TEXAS MEDICAL BRANCH GAL,301 UNIVERSITY BOULEVARD,GALVESTON,TX,77555,17.4,11.8,11.4
BAYLOR UNIVERSITY MEDICAL CENTER,3500 GASTON AVE,DALLAS,TX,75246,18.1,11.8,12.1
CITIZENS MEDICAL CENTER,2701 HOSPITAL DRIVE,VICTORIA,TX,77901,16,9.2,10.2
UNIVERSITY MEDICAL CENTER OF EL PASO,4815 ALAMEDA AVE,EL PASO,TX,79905,16.4,12,12.6
"VHS BROWNSVILLE HOSPITAL COMPANY, LLC",1040 W JEFFERSON ST,BROWNSVILLE,TX,78520,15.4,11.7,11.1
LAREDO MEDICAL CENTER,1700 EAST SAUNDERS,LAREDO,TX,78044,21.6,11.3,10.8
GOOD SHEPHERD MEDICAL CENTER MARSHALL,811 S WASHINGTON,MARSHALL,TX,75670,14.5,10.1,9.9
VHS HARLINGEN HOSPITAL COMPANY LLC,2101 PEASE ST,HARLINGEN,TX,78550,16.1,12.3,8.9
CHRISTUS HOSPITAL,2830 CALDER AVENUE,BEAUMONT,TX,77702,15.1,13.1,12.6
ST JOSEPH MEDICAL CENTER,1401 ST. JOSEPH PARKWAY,HOUSTON,TX,77002,17.4,9.6,13.3
GOOD SHEPHERD MEDICAL CENTER,700 EAST MARSHALL AVENUE,LONGVIEW,TX,75601,16.6,10.6,11.9
JPS HEALTH NETWORK,1500 S MAIN ST,FORT WORTH,TX,76104,18.8,10.6,13.2
COVENANT MEDICAL CENTER,3615 19TH STREET,LUBBOCK,TX,79410,13.6,11.1,11.7
PROVIDENCE HEALTH CENTER,6901 MEDICAL PARKWAY,WACO,TX,76712,14.2,12.6,14.2
UT SOUTHWESTERN UNIVERSITY HOSPITAL,5909 HARRY HINES BLVD,DALLAS,TX,75390,14.5,9,10.5
CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI,600 ELIZABETH STREET,CORPUS CHRISTI,TX,78404,16.8,9.8,12.4
METHODIST DALLAS MEDICAL CENTER,1441 NORTH BECKLEY AVENUE,DALLAS,TX,75203,15.6,11.2,9.9
GOODALL WITCHER HOSPITAL,101 S AVE T,CLIFTON,TX,76634,Not Available,12.4,10.6
SCOTT & WHITE MEMORIAL HOSPITAL,2401 31ST ST,TEMPLE,TX,76508,13.9,9.6,9.5
ROLLING PLAINS MEMORIAL HOSPITAL,200 E ARIZONA,SWEETWATER,TX,79556,Not Available,10.7,13.4
SETON MEDICAL CENTER AUSTIN,1201 W 38TH ST,AUSTIN,TX,78705,14,11.3,11.8
BAPTIST MEDICAL CENTER,111 DALLAS STREET,SAN ANTONIO,TX,78205,14.9,9.6,9.9
TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL,800 W RANDOL MILL RD,ARLINGTON,TX,76012,15.7,10.4,11.7
MEMORIAL HERMANN TEXAS MEDICAL CENTER,6411 FANNIN,HOUSTON,TX,77030,17.3,10.7,11.1
BRAZOSPORT REGIONAL HEALTH SYSTEM,100 MEDICAL DRIVE,LAKE JACKSON,TX,77566,13.3,12.4,13.8
COGDELL MEMORIAL HOSPITAL,1700 COGDELL BLVD,SNYDER,TX,79549,Not Available,12.8,11.6
ANSON GENERAL HOSPITAL,101 AVENUE J,ANSON,TX,79501,Not Available,11.7,12
BAYLOR MEDICAL CENTER AT IRVING,1901 N MACARTHUR BLVD,IRVING,TX,75061,15.1,11.3,11.4
TITUS REGIONAL MEDICAL CENTER,2001 N JEFFERSON,MOUNT PLEASANT,TX,75455,16.1,10.7,13.2
CHRISTUS SPOHN HOSPITAL BEEVILLE,1500 E HOUSTON HWY,BEEVILLE,TX,78102,Not Available,11.2,11.6
EAST TEXAS MEDICAL CENTER,1000 SOUTH BECKHAM STREET,TYLER,TX,75701,15.7,10.7,11.8
GRAHAM REGIONAL MEDICAL CENTER,1301 MONTGOMERY ROAD,GRAHAM,TX,76450,Not Available,10.8,9.3
NORTH HILLS HOSPITAL,4401 BOOTH CALLOWAY ROAD,NORTH RICHLAND HILLS,TX,76180,16.3,10.6,9.4
NORTH TEXAS MEDICAL CENTER,1900 HOSPITAL BLVD,GAINESVILLE,TX,76240,15.3,11.8,13.2
FORT DUNCAN MEDICAL CENTER,3333 N FOSTER MALDONADO BLVD,EAGLE PASS,TX,78852,15.5,8.1,9.7
BAYSHORE MEDICAL CENTER,4000 SPENCER HWY,PASADENA,TX,77504,18.7,11.3,12.1
PAMPA REGIONAL MEDICAL CENTER,1 MEDICAL PLAZA,PAMPA,TX,79065,Not Available,9.8,11.5
HILLCREST BAPTIST MEDICAL CENTER,100 HILLCREST MEDICAL BLVD,WACO,TX,76712,16.2,12.9,11.7
MOTHER FRANCES HOSPITAL,800 EAST DAWSON,TYLER,TX,75701,14.6,12.5,10.9
GUADALUPE REGIONAL MEDICAL CENTER,1215 E COURT ST,SEGUIN,TX,78155,15.2,12,12.4
LAS PALMAS MEDICAL CENTER,1801 NORTH OREGON STREET,EL PASO,TX,79902,15.8,12.7,11.2
CONNALLY MEMORIAL MEDICAL CENTER,499 10TH STREET,FLORESVILLE,TX,78114,14.6,11.8,11.5
SOUTH TEXAS HEALTH SYSTEM,1102 W TRENTON ROAD,EDINBURG,TX,78539,15.5,9.8,10.7
RENAISSANCE HOSPITAL GROVES,5500 39TH ST,GROVES,TX,77619,Not Available,11.9,12.3
UNIVERSITY MEDICAL CENTER AT BRACKENRIDGE,601 E 15TH STREET,AUSTIN,TX,78701,16.2,11.1,10.9
KNAPP MEDICAL CENTER,1401 EAST EIGHT STREET,WESLACO,TX,78596,17.2,11.5,11.8
NIX HEALTH CARE SYSTEM,"414 NAVARRO, SUITE 600",SAN ANTONIO,TX,78205,14,9.9,9.9
MEDICAL CENTER HOSPITAL,500 W 4TH STREET,ODESSA,TX,79761,15.7,14.6,16.8
MIDLAND MEMORIAL HOSPITAL,2200 WEST ILLINOIS AVE,MIDLAND,TX,79701,16.9,12.5,14.5
TEXAS HEALTH HARRIS METHODIST FORT WORTH,1301 PENNSYLVANIA AVENUE,FORT WORTH,TX,76104,14.9,11.4,12.3
BAYLOR ALL SAINTS MEDICAL CENTER AT FW,1400 EIGHTH AVE,FORT WORTH,TX,76104,15.7,8.9,11.7
SETON SMITHVILLE REGIONAL HOSPITAL,800 EAST HIGHWAY 71,SMITHVILLE,TX,78957,Not Available,11.2,9.1
PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO,720 HOSPITAL DRIVE,ANDREWS,TX,79714,Not Available,11.2,12.2
DETAR HOSPITAL NAVARRO,506 E SAN ANTONIO ST,VICTORIA,TX,77902,16.1,8.7,10
TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE,201 WALLS DRIVE,CLEBURNE,TX,76033,15.2,12,11.4
METROPLEX HOSPITAL,2201 S CLEAR CREEK ROAD,KILLEEN,TX,76542,14,11.6,12.4
VAL VERDE REGIONAL MEDICAL CENTER,801 BEDELL AVE,DEL RIO,TX,78840,16.3,11.3,13.4
HEREFORD REGIONAL MEDICAL CENTER,801 EAST THIRD,HEREFORD,TX,79045,Not Available,12.1,13.1
GRACE MEDICAL CENTER,2412 50TH ST,LUBBOCK,TX,79412,Not Available,10.3,9.9
CHRISTUS SPOHN HOSPITAL KLEBERG,1311 EAST GENERAL CAVAZOS BLVD,KINGSVILLE,TX,78363,Not Available,11.5,12.4
SOUTH TEXAS REGIONAL MEDICAL CENTER,1905 HWY 97 EAST,JOURDANTON,TX,78026,13.9,11.3,10.9
MISSION REGIONAL MEDICAL CENTER,900 SOUTH BRYAN ROAD,MISSION,TX,78572,13.5,8.8,9.9
UVALDE MEMORIAL HOSPITAL,1025 GARNER FIELD ROAD,UVALDE,TX,78801,14.7,11,12.8
PECOS COUNTY MEMORIAL HOSPITAL,387 WEST I 10,FORT STOCKTON,TX,79735,Not Available,10,14.4
MEMORIAL HERMANN HOSPITAL SYSTEM,1635  NORTH LOOP WEST,HOUSTON,TX,77008,16,9.8,11.1
TRINITY MEDICAL CENTER,700 MEDICAL PARKWAY,BRENHAM,TX,77833,17.9,10.7,16.9
ETMC CLARKSVILLE,3000 W MAIN ST,CLARKSVILLE,TX,75426,Not Available,10.8,11.9
HILL REGIONAL HOSPITAL,101 CIRCLE DRIVE,HILLSBORO,TX,76645,14.8,12.5,13.1
ST LUKES EPISCOPAL HOSPITAL,6720 BERTNER,HOUSTON,TX,77030,14.4,10.3,9.4
EAST TEXAS MEDICAL CENTER JACKSONVILLE,501 S RAGSDALE,JACKSONVILLE,TX,75766,17.9,10.4,12.4
PARIS REGIONAL MEDICAL CENTER,820 CLARKSVILLE ST,PARIS,TX,75460,15.6,11.4,14.9
WADLEY REGIONAL MEDICAL CENTER,1000 PINE STREET,TEXARKANA,TX,75501,19.4,10.7,12.2
WEATHERFORD REGIONAL MEDICAL CENTER,713 E ANDERSON ST,WEATHERFORD,TX,76086,16.5,10.5,12.7
NORTHWEST TEXAS HOSPITAL,1501 COULTER ROAD,AMARILLO,TX,79106,17.2,12.1,14.3
ETMC CARTHAGE,409 WEST COTTAGE,CARTHAGE,TX,75633,15,15.8,12
MEMORIAL HEALTH SYSTEM OF EAST TEXAS- LUFKIN,1201 WEST FRANK STREET,LUFKIN,TX,75901,14.3,12.3,16
UNIVERSITY HEALTH SYSTEM,4502 MEDICAL DR,SAN ANTONIO,TX,78229,15.7,10.5,11.6
GULF COAST MEDICAL CENTER,10141 US 59 NORTH,WHARTON,TX,77488,Not Available,9.7,8.8
SCOTT & WHITE HOSPITAL-LLANO,200 W OLLIE,LLANO,TX,78643,Not Available,12,11.6
MOORE COUNTY HOSPITAL DISTRICT,224 E SECOND STREET,DUMAS,TX,79029,Not Available,9.7,12.1
CONROE REGIONAL MEDICAL CENTER,504 MEDICAL CENTER BLVD,CONROE,TX,77304,17.3,11.5,12.7
HENDRICK MEDICAL CENTER,1900 PINE,ABILENE,TX,79601,15.6,13,12
BAPTIST ST ANTHONYS HEALTH SYSTEM-BAPTIST CAMPUS,1600 WALLACE BLVD,AMARILLO,TX,79106,13.1,12.8,12.2
COMANCHE COUNTY MEDICAL CENTER,10201 HWY 16,COMANCHE,TX,76442,16.9,11.5,10.2
MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,GONZALES,TX,78629,Not Available,11.2,10.2
HOPKINS COUNTY MEMORIAL HOSPITAL,115 AIRPORT RD,SULPHUR SPRINGS,TX,75482,14.9,14.9,13.7
CHRISTUS SANTA ROSA HOSPITAL,333 N SANTA ROSA STREET,SAN ANTONIO,TX,78207,13.9,12.6,12.9
FAITH COMMUNITY HOSPITAL,717 MAGNOLIA ST,JACKSBORO,TX,76458,Not Available,10.2,10.8
HAMLIN MEMORIAL HOSPITAL,632 N W SECOND STREET,HAMLIN,TX,79520,Not Available,10.9,Not Available
BELLVILLE GENERAL HOSPITAL,44 N CUMMINGS,BELLVILLE,TX,77418,Not Available,13.8,14.9
LAKE WHITNEY MEDICAL CENTER,200 N SAN JACINTO STREET,WHITNEY,TX,76692,Not Available,Not Available,Not Available
WISE REGIONAL HEALTH SYSTEM,609 MEDICAL CENTER DRIVE,DECATUR,TX,76234,16.2,12.2,15.3
CENTRAL TEXAS MEDICAL CENTER,1301 WONDER WORLD DRIVE,SAN MARCOS,TX,78666,14.7,14.1,9.3
BAYLOR MEDICAL CENTER AT GARLAND,2300 MARIE CURIE DRIVE,GARLAND,TX,75042,15,11.3,10.3
COZBY-GERMANY HOSPITAL,707 N WALDRIP,GRAND SALINE,TX,75140,Not Available,11.3,12.1
HARRIS COUNTY HOSPITAL DISTRICT,2525 HOLLY HALL,HOUSTON,TX,77054,14.3,10,12.3
TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN,850 ED HALL,KAUFMAN,TX,75142,17,14.8,14.5
FRIO REGIONAL HOSPITAL,200 S IH 35,PEARSALL,TX,78061,Not Available,10.5,13.4
CLEVELAND REGIONAL MEDICAL CTR,300 E CROCKETT,CLEVELAND,TX,77327,16,9.2,10.2
COLLEGE STATION MEDICAL CENTER,1604 ROCK PRAIRIE ROAD,COLLEGE STATION,TX,77842,16.6,11.4,13.3
STAMFORD MEMORIAL HOSPITAL,1601 COLUMBIA STREET,STAMFORD,TX,79553,Not Available,14.1,11.1
TEXOMA MEDICAL CENTER,5016 S US HIGHWAY 75,DENISON,TX,75020,18.5,11.2,14.1
OAKBEND MEDICAL CENTER,1705 JACKSON ST,RICHMOND,TX,77469,16.2,12.5,13.2
SAN ANGELO COMMUNITY MEDICAL CENTER,3501 KNICKERBOCKER ROAD,SAN ANGELO,TX,76904,16.2,10.5,11.7
MEMORIAL HERMANN BAPTIST BEAUMONT HOSPITAL,3080 COLLEGE STREET,BEAUMONT,TX,77701,16.6,11.7,16.5
HUNTSVILLE MEMORIAL HOSPITAL,110 MEMORIAL HOSPITAL DRIVE,HUNTSVILLE,TX,77340,Not Available,13.4,9.6
FALLS COMMUNITY HOSPITAL AND CLINIC,322 COLEMAN STREET,MARLIN,TX,76661,Not Available,11.2,8.9
TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILL,411 N BELKNAP ST,STEPHENVILLE,TX,76401,15.2,12.6,11
HUNT REGIONAL MEDICAL CENTER,4215 JOE RAMSEY BLVD,GREENVILLE,TX,75401,16.3,13.8,10.4
"METHODIST HOSPITAL,THE",6565 FANNIN,HOUSTON,TX,77030,12.9,8.8,8.3
CHILDRESS REGIONAL MEDICAL CENTER,HWY 83 NORTH,CHILDRESS,TX,79201,Not Available,12.3,10.7
COLUMBUS COMMUNITY HOSPITAL,110 SHULT DR,COLUMBUS,TX,78934,Not Available,12.4,10.1
BAYLOR MEDICAL CENTER AT WAXAHACHIE,1405 W JEFFERSON ST,WAXAHACHIE,TX,75165,15.2,13.5,13.6
EAST TEXAS MEDICAL CENTER MOUNT VERNON,500 S STATE HWY 37,MOUNT VERNON,TX,75457,Not Available,13.6,10.7
DALLAS MEDICAL CENTER,7 MEDICAL PARKWAY,DALLAS,TX,75234,15.2,10.5,10.5
METHODIST HOSPITAL,7700 FLOYD CURL DR,SAN ANTONIO,TX,78229,16.2,10.6,11.3
EAST TEXAS MEDICAL CENTER ATHENS,2000 SOUTH PALESTINE,ATHENS,TX,75751,16.4,10.6,10.1
MEMORIAL MEDICAL CENTER LIVINGSTON,1717 HWY 59 BYPASS,LIVINGSTON,TX,77351,Not Available,11.2,12.1
BROWNFIELD REGIONAL MEDICAL CENTER,705 EAST FELT STREET,BROWNFIELD,TX,79316,Not Available,12.3,13.6
PARKVIEW REGIONAL HOSPITAL,600 SOUTH BONHAM STREET,MEXIA,TX,76667,15,11.7,9.1
MEDICAL CENTER OF MCKINNEY,4500 MEDICAL CENTER DRIVE,MCKINNEY,TX,75069,14.9,11.5,15.5
EASTLAND MEMORIAL HOSPITAL,304 S DAUGHERTY,EASTLAND,TX,76448,Not Available,13,10.9
TEXAS HEALTH HARRIS METHODIST HOSPITAL AZLE,108 DENVER TRAIL,AZLE,TX,76020,Not Available,12.3,11
BAYLOR MEDICAL CENTER AT UPTOWN,2727 EAST LEMMON AVENUE BUILDING I,DALLAS,TX,75204,Not Available,Not Available,Not Available
SAN JACINTO METHODIST HOSPITAL,4401 GARTH ROAD,BAYTOWN,TX,77521,13.5,9.9,11.2
ST DAVIDS MEDICAL CENTER,919 E 32ND ST,AUSTIN,TX,78705,16.2,11.9,11.8
COLORADO FAYETTE MEDICAL CENTER,400 YOUENS DRIVE,WEIMAR,TX,78962,Not Available,9.6,12.1
RIVERSIDE GENERAL HOSPITAL,3204 ENNIS ST,HOUSTON,TX,77004,Not Available,Not Available,Not Available
NAVARRO REGIONAL HOSPITAL,3201 WEST HIGHWAY 22,CORSICANA,TX,75110,17.7,12.4,12.6
GLEN ROSE MEDICAL CENTER,1021 HOLDEN STREET,GLEN ROSE,TX,76043,Not Available,12.6,10.6
TYLER COUNTY HOSPITAL,1100 WEST BLUFF,WOODVILLE,TX,75979,Not Available,11.4,11.9
TEXAS HEALTH PRESBYTERIAN HOSPITAL  DALLAS,8200 WALNUT HILL LANE,DALLAS,TX,75231,17.5,11,11.9
MATAGORDA REGIONAL MEDICAL CENTER,104 7TH STREET,BAY CITY,TX,77414,17.2,11,15.2
TEXAS HEALTH PRESBYTERIAN HOSPITAL-WNJ,500 N HIGHLAND AVENUE,SHERMAN,TX,75091,16.6,10.2,12.9
ETMC HENDERSON,300 WILSON STREET,HENDERSON,TX,75652,15.5,10.5,12.4
WOODLAND HEIGHTS MEDICAL CENTER,505 SOUTH JOHN REDDITT DRIVE,LUFKIN,TX,75904,16.5,12.6,14.2
ALLEGIANCE SPECIALTY HOSPITAL OF KILGORE,1612 SOUTH HENDERSON BLVD,KILGORE,TX,75662,Not Available,Not Available,Not Available
MEDICAL ARTS HOSPITAL,2200 N BRYAN AVE,LAMESA,TX,79331,Not Available,11.4,12.9
BOWIE MEMORIAL HOSPITAL,705 EAST GREENWOOD AV,BOWIE,TX,76230,Not Available,12.7,10.1
STEPHENS MEMORIAL HOSPITAL,200 SOUTH GENEVA,BRECKENRIDGE,TX,76424,Not Available,11.2,15.7
MEMORIAL HOSPITAL,1204 MOUND ST,NACOGDOCHES,TX,75961,16.4,13.2,10.9
THE MEDICAL CENTER OF SOUTHEAST TEXAS,2555 JIMMY JOHNSON BLVD,PORT ARTHUR,TX,77640,16.1,12.7,10.7
METHODIST RICHARDSON MEDICAL CENTER,401 W CAMPBELL RD,RICHARDSON,TX,75080,16.3,12,13
COVENANT HOSPITAL PLAINVIEW,2601 DIMMITT RD,PLAINVIEW,TX,79072,Not Available,13.3,14.7
ABILENE REGIONAL MEDICAL CENTER,6250 HWY 83/84,ABILENE,TX,79606,17.2,13.6,15
BAYLOR REGIONAL MEDICAL CENTER AT GRAPEVINE,1650 W COLLEGE ST,GRAPEVINE,TX,76051,16,10.7,10
PALO PINTO GENERAL HOSPITAL,400 SOUTHWEST 25 AVE,MINERAL WELLS,TX,76067,Not Available,12.1,11.8
SHANNON MEDICAL CENTER,120 EAST HARRIS AVENUE,SAN ANGELO,TX,76903,14.5,12.2,10.2
CHRISTUS JASPER MEMORIAL HOSPITAL,1275 MARVIN HANCOCK DRIVE,JASPER,TX,75951,Not Available,12.6,11.8
HEMPHILL COUNTY HOSPITAL,1020 S 4TH ST,CANADIAN,TX,79014,Not Available,Not Available,11.6
